timestamp,temperature,humidity,light,sound,distance,motion
1776479765466,17.0,76.0,312,1,514,0
1776479775999,17.0,76.0,312,1,514,0
1776479786533,17.0,76.0,311,2,514,0
1776479797067,17.0,76.0,312,1,514,0
1776479807575,17.0,76.0,312,2,514,0
1776479818107,17.0,76.0,312,2,514,0
1776479828641,17.0,76.0,311,1,514,0
1776479839150,17.0,76.0,312,1,514,0
1776479849683,17.0,76.0,312,2,514,0
1776479860191,17.0,76.0,311,2,514,0
1776479870699,17.0,76.0,311,2,514,0
1776479881230,17.0,76.0,312,2,514,0
1776479891737,17.0,76.0,311,1,514,0
1776479902246,17.0,76.0,312,2,513,0
1776479912753,17.0,76.0,311,1,513,0
1776479923260,17.0,76.0,311,1,514,0
1776479933767,17.0,76.0,312,2,513,0
1776479944275,17.0,76.0,311,1,513,0
1776479954781,17.0,76.0,312,2,514,0
1776479965314,17.0,76.0,311,2,514,0
1776479975821,17.0,76.0,312,2,514,0
1776479986352,17.0,76.0,312,2,514,0
1776479996834,17.0,76.0,312,2,513,0
1776480007341,17.0,76.0,311,2,514,0
1776480017873,17.0,76.0,1,514,514,0
1776480028380,17.0,76.0,313,2,514,0
1776480038888,17.0,76.0,311,2,513,0
1776480049444,17.0,76.0,312,1,514,0
1776480059950,17.0,76.0,312,2,513,0
1776480070483,17.0,76.0,312,1,514,0
1776480080991,17.0,76.0,312,2,513,0
1776480091498,17.0,76.0,313,2,514,0
1776480102009,17.0,76.0,312,2,514,0
1776480112539,17.0,76.0,312,2,514,0
1776480123070,17.0,76.0,312,2,514,0
1776480133578,17.0,76.0,312,2,514,0
1776480144109,17.0,76.0,311,1,514,0
1776480154615,17.0,77.0,312,2,514,0
1776480165098,17.0,77.0,311,2,514,0
1776480175631,17.0,76.0,312,2,514,0
1776480186113,17.0,76.0,313,2,513,0
1776480196620,17.0,76.0,312,2,514,0
1776480207128,17.0,76.0,311,2,514,0
1776480217637,17.0,76.0,312,1,514,0
1776480228144,17.0,76.0,311,2,514,0
1776480238650,17.0,76.0,312,1,514,0
1776480249183,17.0,76.0,311,1,513,0
1776480259691,17.0,76.0,311,2,514,0
1776480270224,17.0,76.0,314,514,514,0
1776480280708,17.0,76.0,313,0,514,0
1776480291240,17.0,76.0,312,1,514,0
1776480301722,17.0,76.0,312,2,513,0
1776480301722,17.0,76.0,312,2,513,0
1776480312229,17.0,76.0,311,2,515,0
1776480322711,17.0,76.0,312,2,513,0
1776480333218,17.0,76.0,312,2,513,0
1776480343703,17.0,76.0,312,2,514,0
1776480354210,17.0,76.0,311,2,514,0
1776480364715,17.0,76.0,312,0,514,0
1776480375248,17.0,76.0,312,2,514,0
1776480385753,17.0,76.0,313,2,514,0
1776480396260,17.0,76.0,312,2,514,0
1776480406768,17.0,76.0,312,2,514,0
1776480417274,17.0,76.0,311,2,514,0
1776480427807,17.0,76.0,313,1,514,0
1776480438314,17.0,76.0,312,2,514,0
1776480448846,17.0,76.0,311,1,514,0
1776480459378,17.0,76.0,312,2,514,0
1776480469861,17.0,76.0,313,1,513,0
1776480480371,17.0,76.0,311,1,514,0
1776480490880,17.0,76.0,312,1,514,0
1776480501389,17.0,76.0,312,2,514,0
1776480511897,17.0,76.0,311,2,514,0
1776480522406,17.0,77.0,311,2,514,0
1776480532914,17.0,76.0,311,1,513,0
1776480543398,17.0,76.0,311,1,514,0
1776480553907,17.0,76.0,311,1,514,0
1776480564414,17.0,76.0,312,1,514,0
1776480574922,17.0,76.0,311,0,514,0
1776480585453,17.0,76.0,312,0,514,0
1776480595910,17.0,76.0,312,1,513,0
1776480606442,17.0,76.0,311,1,514,0
1776480616979,17.0,76.0,312,2,514,0
1776480627463,17.0,77.0,312,2,514,0
1776480637918,17.0,77.0,310,2,514,0
1776480648450,17.0,76.0,311,1,514,0
1776480658956,17.0,76.0,311,0,514,0
1776480669487,17.0,76.0,311,2,514,0
1776480679967,17.0,76.0,311,2,514,0
1776480690503,17.0,76.0,312,1,514,0
1776480700985,17.0,76.0,311,2,513,0
1776480711492,17.0,76.0,311,2,514,0
1776480721998,17.0,76.0,312,1,513,0
1776480732505,17.0,76.0,312,0,514,0
1776480743036,17.0,76.0,311,1,514,0
1776480753567,17.0,76.0,311,2,514,0
1776480764100,17.0,76.0,312,2,514,0
1776480774582,17.0,76.0,312,1,514,0
1776480785116,17.0,77.0,312,1,514,0
1776480795624,17.0,76.0,311,2,514,0
